,checking_account,duration,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,installment_plans,housing,credits,job,number_people_maitenance,telephone,foreign,risk
381,0<=x<200,18,existing_credits_paid,car_used,12976,<100,unemployed,3,female_divorced/separated/married,None,4,unknown,38,None,for_free,1,management,1,yes,yes,bad
382,None,22,existing_credits_paid,car_new,1283,unknown,4<=x<7,4,female_divorced/separated/married,None,4,savings_insurance,25,None,rent,1,skilled,1,none,yes,good
383,>=200,12,existing_credits_paid,car_new,1330,<100,<1,4,male_single,None,1,real_estate,26,None,own,1,skilled,1,none,yes,good
384,None,30,delay_in_past,business,4272,100<=x<500,1<=x<4,2,male_single,None,2,savings_insurance,26,None,own,2,unskilled,1,none,yes,good
385,None,18,critical,radio/tv,2238,<100,1<=x<4,2,female_divorced/separated/married,None,1,car_other,25,None,own,2,skilled,1,none,yes,good
386,None,18,existing_credits_paid,radio/tv,1126,unknown,<1,4,female_divorced/separated/married,None,2,real_estate,21,None,rent,1,skilled,1,yes,yes,good
387,0<=x<200,18,critical,furniture/equipment,7374,<100,unemployed,4,male_single,None,4,savings_insurance,40,stores,own,2,management,1,yes,yes,good
388,0<=x<200,15,critical,business,2326,500<=x<1000,1<=x<4,2,male_single,None,4,car_other,27,bank,own,1,skilled,1,none,yes,good
389,None,9,existing_credits_paid,business,1449,<100,4<=x<7,3,female_divorced/separated/married,None,2,car_other,27,None,own,2,skilled,1,none,yes,good
390,None,18,existing_credits_paid,car_new,1820,<100,1<=x<4,2,male_married/widowed,None,2,savings_insurance,30,None,own,1,management,1,yes,yes,good
391,0<=x<200,12,existing_credits_paid,furniture/equipment,983,>=1000,<1,1,female_divorced/separated/married,None,4,real_estate,19,None,rent,1,unskilled,1,none,yes,good
392,<0,36,existing_credits_paid,car_new,3249,<100,4<=x<7,2,male_single,None,4,unknown,39,bank,for_free,1,management,2,yes,yes,good
393,<0,6,critical,radio/tv,1957,<100,4<=x<7,1,female_divorced/separated/married,None,4,car_other,31,None,own,1,skilled,1,none,yes,good
394,None,9,critical,furniture/equipment,2406,<100,unemployed,2,male_single,None,3,car_other,31,None,own,1,management,1,none,yes,good
395,0<=x<200,39,delay_in_past,education,11760,100<=x<500,4<=x<7,2,male_single,None,3,unknown,32,None,rent,1,skilled,1,yes,yes,good
396,<0,12,existing_credits_paid,furniture/equipment,2578,<100,unemployed,3,female_divorced/separated/married,None,4,unknown,55,None,for_free,1,management,1,none,yes,good
397,<0,36,critical,furniture/equipment,2348,<100,1<=x<4,3,male_married/widowed,None,2,savings_insurance,46,None,own,2,skilled,1,yes,yes,good
398,0<=x<200,12,existing_credits_paid,car_new,1223,<100,>=7,1,male_divorced/separated,None,1,real_estate,46,None,rent,2,skilled,1,none,yes,bad
399,None,24,critical,radio/tv,1516,>=1000,1<=x<4,4,female_divorced/separated/married,None,1,real_estate,43,None,own,2,unskilled,1,none,yes,good
400,None,18,existing_credits_paid,radio/tv,1473,<100,<1,3,male_married/widowed,None,4,real_estate,39,None,own,1,skilled,1,yes,yes,good
401,0<=x<200,18,critical,business,1887,unknown,1<=x<4,4,male_married/widowed,None,4,real_estate,28,bank,own,2,skilled,1,none,yes,good
402,None,24,delay_in_past,business,8648,<100,<1,2,male_single,None,2,car_other,27,bank,own,2,skilled,1,yes,yes,bad
403,None,14,delay_in_past,car_new,802,<100,1<=x<4,4,male_single,None,2,car_other,27,None,own,2,unskilled,1,none,yes,good
404,0<=x<200,18,delay_in_past,car_new,2899,unknown,>=7,4,male_single,None,4,car_other,43,None,own,1,skilled,2,none,yes,good
405,0<=x<200,24,existing_credits_paid,radio/tv,2039,<100,<1,1,male_married/widowed,None,1,savings_insurance,22,None,own,1,skilled,1,yes,yes,bad
406,None,24,critical,car_used,2197,unknown,4<=x<7,4,male_single,None,4,car_other,43,None,own,2,skilled,2,yes,yes,good
407,<0,15,existing_credits_paid,radio/tv,1053,<100,<1,4,male_married/widowed,None,2,real_estate,27,None,own,1,skilled,1,none,no,good
408,None,24,existing_credits_paid,radio/tv,3235,500<=x<1000,>=7,3,male_divorced/separated,None,2,car_other,26,None,own,1,management,1,yes,yes,good
409,>=200,12,critical,car_new,939,500<=x<1000,4<=x<7,4,male_married/widowed,None,2,real_estate,28,None,own,3,skilled,1,yes,yes,bad
410,0<=x<200,24,existing_credits_paid,radio/tv,1967,<100,>=7,4,female_divorced/separated/married,None,4,car_other,20,None,own,1,skilled,1,yes,yes,good
411,None,33,critical,car_used,7253,<100,4<=x<7,3,male_single,None,2,car_other,35,None,own,2,management,1,yes,yes,good
412,None,12,critical,business,2292,<100,unemployed,4,male_single,None,2,car_other,42,stores,own,2,management,1,yes,yes,bad
413,None,10,existing_credits_paid,car_new,1597,500<=x<1000,1<=x<4,3,male_single,None,2,unknown,40,None,rent,1,unskilled,2,none,no,good
414,<0,24,existing_credits_paid,car_new,1381,unknown,1<=x<4,4,female_divorced/separated/married,None,2,savings_insurance,35,None,own,1,skilled,1,none,yes,bad
415,None,36,critical,car_used,5842,<100,>=7,2,male_single,None,2,savings_insurance,35,None,own,2,skilled,2,yes,yes,good
416,<0,12,existing_credits_paid,car_new,2579,<100,<1,4,male_single,None,1,real_estate,33,None,own,1,unskilled,2,none,yes,bad
417,<0,18,delay_in_past,education,8471,unknown,1<=x<4,1,female_divorced/separated/married,None,2,car_other,23,None,rent,2,skilled,1,yes,yes,good
418,None,21,existing_credits_paid,car_new,2782,500<=x<1000,4<=x<7,1,female_divorced/separated/married,None,2,car_other,31,bank,own,1,management,1,none,yes,good
419,0<=x<200,18,existing_credits_paid,car_new,1042,unknown,1<=x<4,4,female_divorced/separated/married,None,2,savings_insurance,33,None,own,1,skilled,1,none,yes,bad
420,None,15,existing_credits_paid,car_new,3186,>=1000,4<=x<7,2,female_divorced/separated/married,None,3,car_other,20,None,rent,1,skilled,1,none,yes,good
421,0<=x<200,12,existing_credits_paid,car_used,2028,unknown,1<=x<4,4,male_single,None,2,car_other,30,None,own,1,skilled,1,none,yes,good
422,0<=x<200,12,critical,car_new,958,<100,4<=x<7,2,male_single,None,3,real_estate,47,None,own,2,unskilled,2,none,yes,good
423,None,21,delay_in_past,furniture/equipment,1591,100<=x<500,4<=x<7,4,male_single,None,3,real_estate,34,None,own,2,management,1,none,yes,good
424,0<=x<200,12,existing_credits_paid,furniture/equipment,2762,unknown,>=7,1,female_divorced/separated/married,None,2,savings_insurance,25,bank,own,1,skilled,1,yes,yes,bad
425,0<=x<200,18,existing_credits_paid,car_used,2779,<100,1<=x<4,1,male_married/widowed,None,3,car_other,21,None,rent,1,skilled,1,yes,yes,good
426,None,28,critical,radio/tv,2743,<100,>=7,4,male_single,None,2,car_other,29,None,own,2,skilled,1,none,yes,good
427,None,18,critical,radio/tv,1149,>=1000,1<=x<4,4,male_single,None,3,real_estate,46,None,own,2,skilled,1,none,yes,good
428,None,9,existing_credits_paid,furniture/equipment,1313,<100,>=7,1,male_single,None,4,car_other,20,None,own,1,skilled,1,none,yes,good
429,<0,18,critical,repairs,1190,<100,unemployed,2,female_divorced/separated/married,None,4,unknown,55,None,for_free,3,unemployed,2,none,yes,bad
430,None,5,existing_credits_paid,business,3448,<100,4<=x<7,1,male_single,None,4,real_estate,74,None,own,1,unskilled,1,none,yes,good
431,0<=x<200,24,existing_credits_paid,others,11328,<100,1<=x<4,2,male_single,co-applicant,3,car_other,29,bank,own,2,management,1,yes,yes,bad
432,<0,6,critical,furniture/equipment,1872,<100,unemployed,4,male_single,None,4,unknown,36,None,for_free,3,management,1,yes,yes,good
433,None,24,critical,repairs,2058,<100,1<=x<4,4,male_divorced/separated,None,2,real_estate,33,None,own,2,skilled,1,yes,yes,good
434,<0,9,existing_credits_paid,furniture/equipment,2136,<100,1<=x<4,3,male_single,None,2,real_estate,25,None,own,1,skilled,1,none,yes,good
435,0<=x<200,12,existing_credits_paid,radio/tv,1484,unknown,1<=x<4,2,male_married/widowed,None,1,real_estate,25,None,own,1,skilled,1,yes,yes,bad
436,None,6,existing_credits_paid,repairs,660,500<=x<1000,4<=x<7,2,male_married/widowed,None,4,real_estate,23,None,rent,1,unskilled,1,none,yes,good
437,None,24,critical,car_new,1287,>=1000,>=7,4,female_divorced/separated/married,None,4,real_estate,37,None,own,2,skilled,1,yes,yes,good
438,<0,42,critical,repairs,3394,<100,unemployed,4,male_single,co-applicant,4,car_other,65,None,own,2,unemployed,1,none,yes,good
439,>=200,12,all_credits_paid_bank,business,609,<100,<1,4,female_divorced/separated/married,None,1,real_estate,26,None,own,1,unemployed,1,none,yes,bad
440,None,12,existing_credits_paid,car_new,1884,<100,>=7,4,male_single,None,4,car_other,39,None,own,1,management,1,yes,yes,good
441,<0,12,existing_credits_paid,furniture/equipment,1620,<100,1<=x<4,2,female_divorced/separated/married,co-applicant,3,savings_insurance,30,None,own,1,skilled,1,none,yes,good
442,0<=x<200,20,delay_in_past,others,2629,<100,1<=x<4,2,male_single,None,3,car_other,29,bank,own,2,skilled,1,yes,yes,good
443,None,12,existing_credits_paid,education,719,<100,>=7,4,male_single,None,4,car_other,41,bank,own,1,unskilled,2,none,yes,bad
444,0<=x<200,48,critical,furniture/equipment,5096,<100,1<=x<4,2,female_divorced/separated/married,None,3,car_other,30,None,own,1,management,1,yes,yes,bad
445,None,9,critical,education,1244,unknown,>=7,4,female_divorced/separated/married,None,4,savings_insurance,41,None,rent,2,unskilled,1,none,yes,good
446,<0,36,existing_credits_paid,car_new,1842,<100,<1,4,female_divorced/separated/married,None,4,car_other,34,None,own,1,skilled,1,yes,yes,bad
447,0<=x<200,7,existing_credits_paid,radio/tv,2576,<100,1<=x<4,2,male_single,guarantor,2,real_estate,35,None,own,1,skilled,1,none,yes,good
448,>=200,12,existing_credits_paid,furniture/equipment,1424,unknown,>=7,3,female_divorced/separated/married,None,4,real_estate,55,None,own,1,management,1,yes,yes,good
449,0<=x<200,15,delay_in_past,repairs,1512,>=1000,1<=x<4,3,male_married/widowed,None,3,savings_insurance,61,stores,own,2,skilled,1,none,yes,bad
450,None,36,critical,car_used,11054,unknown,1<=x<4,4,male_single,None,2,car_other,30,None,own,1,management,1,yes,yes,good
451,None,6,existing_credits_paid,radio/tv,518,<100,1<=x<4,3,female_divorced/separated/married,None,1,real_estate,29,None,own,1,skilled,1,none,yes,good
452,None,12,no_credits_taken,furniture/equipment,2759,<100,>=7,2,male_single,None,4,savings_insurance,34,None,own,2,skilled,1,none,yes,good
453,None,24,existing_credits_paid,car_used,2670,<100,>=7,4,male_single,None,4,car_other,35,None,own,1,management,1,yes,yes,good
454,<0,24,existing_credits_paid,car_new,4817,<100,4<=x<7,2,male_single,co-applicant,3,savings_insurance,31,None,own,1,skilled,1,yes,yes,bad
455,None,24,existing_credits_paid,car_used,2679,<100,<1,4,female_divorced/separated/married,None,1,unknown,29,None,own,1,management,1,yes,yes,good
456,<0,11,critical,car_new,3905,<100,1<=x<4,2,male_single,None,2,real_estate,36,None,rent,2,skilled,2,none,yes,good
457,<0,12,existing_credits_paid,car_used,3386,<100,>=7,3,male_single,None,4,unknown,35,None,for_free,1,skilled,1,yes,yes,bad
458,<0,6,existing_credits_paid,domestic_appliances,343,<100,<1,4,female_divorced/separated/married,None,1,real_estate,27,None,own,1,skilled,1,none,yes,good
459,None,18,existing_credits_paid,radio/tv,4594,<100,<1,3,male_single,None,2,car_other,32,None,own,1,skilled,1,yes,yes,good
460,<0,36,existing_credits_paid,furniture/equipment,3620,<100,1<=x<4,1,male_single,guarantor,2,savings_insurance,37,None,own,1,skilled,2,none,yes,good
461,<0,15,existing_credits_paid,car_new,1721,<100,<1,2,male_single,None,3,real_estate,36,None,own,1,skilled,1,none,yes,good
462,0<=x<200,12,existing_credits_paid,furniture/equipment,3017,<100,<1,3,female_divorced/separated/married,None,1,real_estate,34,None,rent,1,management,1,none,yes,good
463,0<=x<200,12,existing_credits_paid,retraining,754,unknown,>=7,4,male_single,None,4,savings_insurance,38,None,own,2,skilled,1,none,yes,good
464,None,18,existing_credits_paid,business,1950,<100,4<=x<7,4,male_single,None,1,car_other,34,stores,own,2,skilled,1,yes,yes,good
465,<0,24,existing_credits_paid,car_used,2924,<100,1<=x<4,3,male_single,guarantor,4,unknown,63,bank,own,1,skilled,2,yes,yes,good
466,<0,24,delay_in_past,radio/tv,1659,<100,<1,4,female_divorced/separated/married,None,2,car_other,29,None,rent,1,unskilled,1,yes,yes,bad
467,None,48,delay_in_past,radio/tv,7238,unknown,>=7,3,male_single,None,3,car_other,32,bank,own,2,skilled,2,none,yes,good
468,None,33,delay_in_past,business,2764,<100,1<=x<4,2,female_divorced/separated/married,None,2,car_other,26,None,own,2,skilled,1,yes,yes,good
469,None,24,delay_in_past,car_used,4679,<100,4<=x<7,3,male_single,None,3,car_other,35,None,own,2,unskilled,1,yes,yes,good
470,0<=x<200,24,existing_credits_paid,radio/tv,3092,100<=x<500,<1,3,male_married/widowed,None,2,car_other,22,None,rent,1,skilled,1,yes,yes,bad
471,<0,6,existing_credits_paid,education,448,<100,<1,4,female_divorced/separated/married,None,4,savings_insurance,23,None,own,1,skilled,1,none,yes,bad
472,<0,9,existing_credits_paid,car_new,654,<100,1<=x<4,4,male_single,None,3,car_other,28,None,own,1,unskilled,1,none,yes,bad
473,None,6,existing_credits_paid,retraining,1238,unknown,unemployed,4,male_single,None,4,savings_insurance,36,None,own,1,management,2,yes,yes,good
474,0<=x<200,18,critical,radio/tv,1245,<100,1<=x<4,4,male_married/widowed,None,2,car_other,33,None,own,1,skilled,1,none,yes,bad
475,<0,18,no_credits_taken,furniture/equipment,3114,<100,<1,1,female_divorced/separated/married,None,4,savings_insurance,26,None,rent,1,skilled,1,none,yes,bad
476,None,39,existing_credits_paid,car_used,2569,500<=x<1000,1<=x<4,4,male_single,None,4,car_other,24,None,own,1,skilled,1,none,yes,good
477,>=200,24,existing_credits_paid,radio/tv,5152,<100,4<=x<7,4,male_single,None,2,car_other,25,bank,own,1,skilled,1,none,yes,good
478,0<=x<200,12,existing_credits_paid,business,1037,100<=x<500,4<=x<7,3,male_single,None,4,real_estate,39,None,own,1,unskilled,1,none,yes,good
479,<0,15,critical,furniture/equipment,1478,<100,>=7,4,male_single,None,4,car_other,44,None,own,2,skilled,2,yes,yes,good
480,0<=x<200,12,critical,radio/tv,3573,<100,1<=x<4,1,female_divorced/separated/married,None,1,real_estate,23,None,own,1,unskilled,1,none,yes,good
481,0<=x<200,24,existing_credits_paid,car_new,1201,<100,<1,4,male_single,None,1,savings_insurance,26,None,own,1,skilled,1,none,yes,good
482,<0,30,existing_credits_paid,furniture/equipment,3622,>=1000,>=7,4,female_divorced/separated/married,None,4,savings_insurance,57,None,rent,2,skilled,1,yes,yes,good
483,None,15,delay_in_past,furniture/equipment,960,>=1000,4<=x<7,3,female_divorced/separated/married,None,2,savings_insurance,30,None,own,2,skilled,1,none,yes,good
484,None,12,critical,car_new,1163,500<=x<1000,1<=x<4,4,male_single,None,4,real_estate,44,None,own,1,skilled,1,yes,yes,good
485,0<=x<200,6,delay_in_past,car_new,1209,<100,unemployed,4,male_single,None,4,savings_insurance,47,None,own,1,management,1,yes,yes,bad
486,None,12,existing_credits_paid,radio/tv,3077,<100,1<=x<4,2,male_single,None,4,car_other,52,None,own,1,skilled,1,yes,yes,good
487,None,24,existing_credits_paid,car_new,3757,<100,>=7,4,female_divorced/separated/married,co-applicant,4,unknown,62,None,for_free,1,skilled,1,yes,yes,good
488,None,10,existing_credits_paid,car_new,1418,100<=x<500,1<=x<4,3,male_single,None,2,real_estate,35,None,rent,1,unskilled,1,none,no,good
489,None,6,existing_credits_paid,car_new,3518,<100,1<=x<4,2,male_single,guarantor,3,savings_insurance,26,None,rent,1,skilled,1,none,yes,good
490,None,12,critical,radio/tv,1934,<100,>=7,2,male_single,None,2,unknown,26,None,own,2,skilled,1,none,yes,good
491,0<=x<200,27,no_credits_taken,business,8318,<100,>=7,2,female_divorced/separated/married,None,4,unknown,42,None,for_free,2,management,1,yes,yes,bad
492,None,6,critical,radio/tv,1237,100<=x<500,1<=x<4,1,female_divorced/separated/married,None,1,savings_insurance,27,None,own,2,skilled,1,none,yes,good
493,0<=x<200,6,existing_credits_paid,radio/tv,368,unknown,>=7,4,male_single,None,4,savings_insurance,38,None,own,1,skilled,1,none,yes,good
494,<0,12,critical,car_new,2122,<100,1<=x<4,3,male_single,None,2,real_estate,39,None,rent,2,unskilled,2,none,no,good
495,<0,24,existing_credits_paid,furniture/equipment,2996,unknown,1<=x<4,2,male_married/widowed,None,4,car_other,20,None,own,1,skilled,1,none,yes,bad
496,0<=x<200,36,existing_credits_paid,furniture/equipment,9034,100<=x<500,<1,4,male_single,co-applicant,1,unknown,29,None,rent,1,management,1,yes,yes,bad
497,None,24,critical,furniture/equipment,1585,<100,4<=x<7,4,male_single,None,3,savings_insurance,40,None,own,2,skilled,1,none,yes,good
498,0<=x<200,18,existing_credits_paid,radio/tv,1301,<100,>=7,4,male_married/widowed,guarantor,2,real_estate,32,None,own,1,unskilled,1,none,yes,good
499,>=200,6,critical,car_new,1323,100<=x<500,>=7,2,male_divorced/separated,None,4,car_other,28,None,own,2,skilled,2,yes,yes,good
500,<0,24,existing_credits_paid,car_new,3123,<100,<1,4,female_divorced/separated/married,None,1,savings_insurance,27,None,own,1,skilled,1,none,yes,bad
501,<0,36,existing_credits_paid,car_used,5493,<100,>=7,2,male_single,None,4,unknown,42,None,for_free,1,skilled,2,none,yes,good
502,>=200,9,existing_credits_paid,radio/tv,1126,100<=x<500,>=7,2,male_divorced/separated,None,4,real_estate,49,None,own,1,skilled,1,none,yes,good
503,0<=x<200,24,critical,radio/tv,1216,100<=x<500,<1,4,male_single,None,4,unknown,38,bank,own,2,skilled,2,none,yes,bad
504,<0,24,existing_credits_paid,car_new,1207,<100,<1,4,female_divorced/separated/married,None,4,savings_insurance,24,None,rent,1,skilled,1,none,yes,bad
505,None,10,existing_credits_paid,car_new,1309,unknown,1<=x<4,4,male_single,guarantor,4,savings_insurance,27,None,own,1,unskilled,1,none,yes,bad
506,>=200,15,critical,car_used,2360,500<=x<1000,1<=x<4,2,male_single,None,2,car_other,36,None,own,1,skilled,1,yes,yes,good
507,0<=x<200,15,all_credits_paid_bank,car_new,6850,100<=x<500,unemployed,1,male_single,None,2,savings_insurance,34,None,own,1,management,2,yes,yes,bad
508,None,24,existing_credits_paid,radio/tv,1413,<100,1<=x<4,4,male_married/widowed,None,2,savings_insurance,28,None,own,1,skilled,1,none,yes,good
509,None,39,existing_credits_paid,car_used,8588,100<=x<500,>=7,4,male_single,None,2,car_other,45,None,own,1,management,1,yes,yes,good
510,<0,12,existing_credits_paid,car_new,759,<100,4<=x<7,4,male_single,None,2,real_estate,26,None,own,1,skilled,1,none,yes,bad
511,None,36,existing_credits_paid,car_used,4686,<100,1<=x<4,2,male_single,None,2,unknown,32,None,for_free,1,management,1,yes,yes,good
512,>=200,15,existing_credits_paid,business,2687,<100,4<=x<7,2,male_single,None,4,savings_insurance,26,None,rent,1,skilled,1,yes,yes,good
513,0<=x<200,12,delay_in_past,radio/tv,585,<100,1<=x<4,4,male_married/widowed,co-applicant,4,real_estate,20,None,rent,2,skilled,1,none,yes,good
514,None,24,existing_credits_paid,car_new,2255,unknown,<1,4,male_single,None,1,savings_insurance,54,None,own,1,skilled,1,none,yes,good
515,<0,6,critical,car_new,609,<100,4<=x<7,4,female_divorced/separated/married,None,3,savings_insurance,37,None,own,2,skilled,1,none,no,good
516,<0,6,critical,car_new,1361,<100,<1,2,male_single,None,4,real_estate,40,None,own,1,unskilled,2,none,no,good
517,None,36,critical,furniture/equipment,7127,<100,<1,2,female_divorced/separated/married,None,4,savings_insurance,23,None,rent,2,skilled,1,yes,yes,bad
518,<0,6,existing_credits_paid,car_new,1203,100<=x<500,>=7,3,male_single,None,2,savings_insurance,43,None,own,1,skilled,1,yes,yes,good
519,None,6,critical,radio/tv,700,unknown,>=7,4,male_single,None,4,unknown,36,None,for_free,2,skilled,1,none,yes,good
520,None,24,critical,repairs,5507,<100,>=7,3,male_single,None,4,unknown,44,None,for_free,2,skilled,1,none,yes,good
521,<0,18,existing_credits_paid,radio/tv,3190,<100,1<=x<4,2,female_divorced/separated/married,None,2,real_estate,24,None,own,1,skilled,1,none,yes,bad
522,<0,48,no_credits_taken,furniture/equipment,7119,<100,1<=x<4,3,male_single,None,4,unknown,53,None,for_free,2,skilled,2,none,yes,bad
523,None,24,existing_credits_paid,car_used,3488,100<=x<500,4<=x<7,3,female_divorced/separated/married,None,4,car_other,23,None,own,1,skilled,1,none,yes,good
524,0<=x<200,18,existing_credits_paid,radio/tv,1113,<100,1<=x<4,4,female_divorced/separated/married,guarantor,4,real_estate,26,None,own,1,unskilled,2,none,yes,good
525,0<=x<200,26,existing_credits_paid,car_used,7966,<100,<1,2,male_single,None,3,car_other,30,None,own,2,skilled,1,none,yes,good
526,None,15,critical,education,1532,100<=x<500,1<=x<4,4,female_divorced/separated/married,None,3,car_other,31,None,own,1,skilled,1,none,yes,good
527,None,4,critical,radio/tv,1503,<100,4<=x<7,2,male_single,None,1,real_estate,42,None,own,2,unskilled,2,none,yes,good
528,<0,36,existing_credits_paid,radio/tv,2302,<100,1<=x<4,4,male_divorced/separated,None,4,car_other,31,None,rent,1,skilled,1,none,yes,bad
529,<0,6,existing_credits_paid,car_new,662,<100,<1,3,male_single,None,4,real_estate,41,None,own,1,unskilled,2,yes,yes,good
530,0<=x<200,36,existing_credits_paid,education,2273,<100,4<=x<7,3,male_single,None,1,car_other,32,None,own,2,skilled,2,none,yes,good
531,0<=x<200,15,existing_credits_paid,car_new,2631,100<=x<500,1<=x<4,2,female_divorced/separated/married,None,4,car_other,28,None,rent,2,skilled,1,yes,yes,bad
532,None,12,delay_in_past,car_used,1503,<100,1<=x<4,4,male_married/widowed,None,4,real_estate,41,None,rent,1,skilled,1,none,yes,good
533,None,24,existing_credits_paid,radio/tv,1311,100<=x<500,4<=x<7,4,male_married/widowed,None,3,savings_insurance,26,None,own,1,skilled,1,yes,yes,good
534,None,24,existing_credits_paid,radio/tv,3105,unknown,<1,4,male_single,None,2,car_other,25,None,own,2,skilled,1,none,yes,good
535,>=200,21,critical,education,2319,<100,<1,2,male_divorced/separated,None,1,car_other,33,None,rent,1,skilled,1,none,yes,bad
536,<0,6,existing_credits_paid,car_new,1374,unknown,unemployed,4,female_divorced/separated/married,None,3,savings_insurance,75,None,own,1,management,1,yes,yes,good
537,0<=x<200,18,critical,furniture/equipment,3612,<100,>=7,3,female_divorced/separated/married,None,4,savings_insurance,37,None,own,1,skilled,1,yes,yes,good
538,<0,48,existing_credits_paid,car_new,7763,<100,>=7,4,male_single,None,4,unknown,42,bank,for_free,1,management,1,none,yes,bad
539,>=200,18,existing_credits_paid,furniture/equipment,3049,<100,<1,1,female_divorced/separated/married,None,1,savings_insurance,45,stores,own,1,unskilled,1,none,yes,good
540,0<=x<200,12,existing_credits_paid,radio/tv,1534,<100,<1,1,male_married/widowed,None,1,real_estate,23,None,rent,1,skilled,1,none,yes,bad
541,None,24,delay_in_past,car_new,2032,<100,>=7,4,male_single,None,4,unknown,60,None,for_free,2,skilled,1,yes,yes,good
542,<0,30,existing_credits_paid,furniture/equipment,6350,unknown,>=7,4,male_single,None,4,savings_insurance,31,None,own,1,skilled,1,none,yes,bad
543,>=200,18,existing_credits_paid,furniture/equipment,2864,<100,1<=x<4,2,male_single,None,1,real_estate,34,None,own,1,unskilled,2,none,yes,bad
544,None,12,critical,car_new,1255,<100,>=7,4,male_single,None,4,real_estate,61,None,own,2,unskilled,1,none,yes,good
545,<0,24,delay_in_past,car_new,1333,<100,unemployed,4,male_single,None,2,real_estate,43,None,for_free,2,skilled,2,none,yes,bad
546,None,24,critical,car_new,2022,<100,1<=x<4,4,female_divorced/separated/married,None,4,car_other,37,None,own,1,skilled,1,yes,yes,good
547,None,24,existing_credits_paid,radio/tv,1552,<100,4<=x<7,3,male_single,None,1,car_other,32,bank,own,1,skilled,2,none,yes,good
548,<0,12,all_credits_paid_bank,radio/tv,626,<100,1<=x<4,4,female_divorced/separated/married,None,4,real_estate,24,bank,own,1,unskilled,1,none,yes,bad
549,None,48,critical,car_used,8858,unknown,4<=x<7,2,male_single,None,1,unknown,35,None,for_free,2,skilled,1,yes,yes,good
550,None,12,critical,repairs,996,unknown,4<=x<7,4,female_divorced/separated/married,None,4,real_estate,23,None,own,2,skilled,1,none,yes,good
551,None,6,all_credits_paid_bank,radio/tv,1750,500<=x<1000,>=7,2,male_single,None,4,savings_insurance,45,bank,own,1,unskilled,2,none,yes,good
552,<0,48,existing_credits_paid,radio/tv,6999,<100,4<=x<7,1,male_married/widowed,guarantor,1,real_estate,34,None,own,2,skilled,1,yes,yes,bad
553,0<=x<200,12,critical,car_new,1995,100<=x<500,<1,4,male_single,None,1,car_other,27,None,own,1,skilled,1,none,yes,good
554,0<=x<200,9,existing_credits_paid,education,1199,<100,4<=x<7,4,female_divorced/separated/married,None,4,savings_insurance,67,None,own,2,management,1,yes,yes,good
555,0<=x<200,12,existing_credits_paid,radio/tv,1331,<100,<1,2,male_single,None,1,car_other,22,stores,own,1,skilled,1,none,yes,bad
556,0<=x<200,18,no_credits_taken,car_new,2278,100<=x<500,<1,3,female_divorced/separated/married,None,3,car_other,28,None,own,2,skilled,1,none,yes,bad
557,None,21,no_credits_taken,car_new,5003,unknown,1<=x<4,1,female_divorced/separated/married,None,4,savings_insurance,29,bank,own,2,skilled,1,yes,yes,bad
558,<0,24,all_credits_paid_bank,furniture/equipment,3552,<100,4<=x<7,3,male_single,None,4,car_other,27,bank,own,1,skilled,1,none,yes,bad
559,0<=x<200,18,critical,furniture/equipment,1928,<100,<1,2,male_single,None,2,real_estate,31,None,own,2,unskilled,1,none,yes,bad
560,<0,24,existing_credits_paid,car_used,2964,unknown,>=7,4,male_single,None,4,unknown,49,bank,for_free,1,skilled,2,yes,yes,good
561,<0,24,all_credits_paid_bank,radio/tv,1546,<100,4<=x<7,4,male_single,guarantor,4,car_other,24,bank,rent,1,unskilled,1,none,yes,bad
562,>=200,6,delay_in_past,radio/tv,683,<100,<1,2,female_divorced/separated/married,None,1,savings_insurance,29,bank,own,1,skilled,1,none,yes,good
563,0<=x<200,36,existing_credits_paid,car_new,12389,unknown,1<=x<4,1,male_single,None,4,unknown,37,None,for_free,1,skilled,1,yes,yes,bad
564,0<=x<200,24,delay_in_past,business,4712,unknown,1<=x<4,4,male_single,None,2,savings_insurance,37,bank,own,2,management,1,yes,yes,good
565,0<=x<200,24,delay_in_past,radio/tv,1553,100<=x<500,4<=x<7,3,female_divorced/separated/married,None,2,savings_insurance,23,None,rent,2,skilled,1,yes,yes,good
566,<0,12,existing_credits_paid,car_new,1372,<100,4<=x<7,2,male_divorced/separated,None,3,car_other,36,None,own,1,skilled,1,none,yes,bad
567,None,24,critical,radio/tv,2578,>=1000,>=7,2,male_single,None,2,car_other,34,None,own,1,skilled,1,none,yes,good
568,0<=x<200,48,existing_credits_paid,radio/tv,3979,unknown,4<=x<7,4,male_single,None,1,car_other,41,None,own,2,skilled,2,yes,yes,good
569,<0,48,existing_credits_paid,radio/tv,6758,<100,1<=x<4,3,female_divorced/separated/married,None,2,car_other,31,None,own,1,skilled,1,yes,yes,bad
570,<0,24,existing_credits_paid,furniture/equipment,3234,<100,<1,4,female_divorced/separated/married,None,4,real_estate,23,None,rent,1,unskilled,1,yes,yes,bad
571,None,30,critical,radio/tv,5954,<100,4<=x<7,3,male_single,co-applicant,2,car_other,38,None,own,1,skilled,1,none,yes,good
